subscriber_id,full_name,gender,birth_date,registration_date,tariff_plan_id,city,status
101,Ilkin Huseynov,Male,1985-06-19,2021-05-23,20,Khankendi,Suspended
102,Farid Mammadova,Male,1987-02-01,2022-10-27,230,Khankendi,Active
103,Orkhan Taghiyev,Male,1964-11-06,2025-03-14,90,Sumqayit,Active
104,Vugar Mehdiyev,Male,1982-06-11,2021-10-24,190,Lankaran,Churned
105,Elvin Rahimov,Male,1986-05-04,2025-03-23,170,Shirvan,Active
106,Emin Aliyev,Male,1992-04-20,2022-06-25,60,Lankaran,Churned
107,Leyla Taghiyev,Female,1971-10-12,2022-08-29,150,Sheki,Active
108,Vugar Garavaliyev,Male,1995-09-27,2022-03-06,180,Nakhchivan,Active
109,Sabir Ahmadov,Male,1967-01-04,2025-02-11,150,Baku,Active
110,Kamran Rzayev,Male,1960-06-20,2025-05-28,210,Nakhchivan,Churned
111,Samir Hasanov,Male,1992-04-20,2023-11-27,250,Sumqayit,Churned
112,Kamran Garavaliyev,Male,1976-12-07,2023-04-06,10,Ganja,Active
113,Nargiz Karimov,Female,2000-10-25,2024-08-25,190,Ganja,Active
114,Orkhan Mammadova,Male,1994-09-25,2025-04-13,220,Shirvan,Churned
115,Gunel Guliyev,Female,1968-01-20,2024-10-24,180,Mingachevir,Active
116,Elvin Rahimov,Male,1966-09-17,2023-02-06,150,Ganja,Active
117,Tural Mammadova,Male,1975-09-07,2025-11-18,190,Sheki,Active
118,Nigar Karimov,Female,2005-05-15,2025-08-08,230,Baku,Active
119,Leyla Huseynov,Female,1976-05-15,2025-08-08,170,Mingachevir,Active
120,Orkhan Hasanov,Male,1994-02-22,2021-12-11,190,Yevlakh,Suspended
121,Tural Valiyev,Male,1969-06-30,2024-12-07,40,Ganja,Suspended
122,Ramil Gasimov,Male,1969-02-18,2023-05-20,240,Baku,Active
123,Emin Taghiyev,Male,1975-07-29,2021-07-06,40,Mingachevir,Active
124,Anar Mehdiyev,Male,1965-10-07,2025-03-19,140,Sumqayit,Active
125,Rashad Karimov,Male,1999-04-02,2023-07-08,180,Ganja,Active
126,Vugar Garavaliyev,Male,1997-08-24,2021-10-10,80,Sumqayit,Suspended
127,Orkhan Valiyev,Male,1986-11-02,2021-02-25,130,Baku,Active
